item_id,order_id,product_id,quantity,unit_price,discount_percent
1,680,16,1,2343.71,78.9
2,55,3,8,626.12,66.0
3,676,5,6,2410.72,88.3
4,390,125,2,6947.5,53.2
5,513,6,8,414.04,92.2
6,502,5,7,2839.56,35.2
7,242,66,5,7041.55,89.0
8,31,88,5,7187.68,65.7
9,392,147,4,1306.72,97.1
10,338,53,8,5254.53,58.1
11,208,135,3,7285.55,43.0
12,149,143,3,4310.4,71.9
13,150,106,1,7693.45,30.3
14,653,49,5,943.49,18.5
15,627,60,5,4811.25,23.1
17,504,50,8,1887.56,40.9
18,277,52,7,6086.44,6.6
19,450,118,8,7111.94,42.8
20,623,101,7,4930.89,74.2
21,538,116,1,3709.51,87.8
22,252,11,7,4505.84,51.6
23,51,102,4,7086.74,77.4
24,171,14,7,5550.63,90.4
25,662,129,8,994.06,77.9
26,560,83,3,3662.0,17.9
27,207,83,8,5564.57,90.7
28,127,116,2,5109.17,8.5
29,524,98,3,446.86,17.1
30,676,38,3,1513.05,71.2
31,317,47,8,1028.68,13.2
32,638,128,-5,6857.75,54.4
34,7,72,4,4996.15,55.8
35,51,90,3,390.1,85.4
36,618,23,5,487.35,41.7
37,689,147,5,6319.73,17.7
38,593,24,6,6171.24,32.3
39,70,17,7,2413.38,13.5
40,282,135,6,1757.78,20.9
41,586,74,2,3473.72,84.8
42,589,145,6,4021.54,72.9
43,185,50,4,112.49,2.4
44,121,107,4,3370.93,33.4
45,653,52,-4,5551.13,25.4
46,308,30,6,5518.1,34.1
47,631,50,1,2711.07,33.8
48,486,124,1,1327.55,46.1
49,344,106,8,7429.54,5.6
50,579,5,6,1745.27,68.5
51,363,72,2,6741.84,33.9
52,548,100,3,1580.29,11.7
53,316,70,6,3369.57,49.7
54,463,78,5,1482.6,37.4
55,207,7,2,6412.3,90.5
56,349,135,8,2551.83,32.7
57,101,10,3,3729.01,71.4
58,5,23,5,2732.99,88.9
59,675,80,-5,5146.92,21.0
60,294,113,5,5401.88,27.3
61,118,144,1,4161.08,20.7
62,327,73,5,4635.26,17.1
63,347,8,8,3818.81,67.5
64,56,46,2,5666.95,89.1
65,457,51,6,5731.9,67.1
66,477,120,3,868.38,31.0
67,477,58,8,1235.4,89.6
68,373,85,7,6331.35,88.2
69,31,90,2,3881.35,84.6
70,357,104,3,6558.67,79.7
71,666,137,2,3741.7,59.1
72,250,99,3,621.87,20.8
73,442,88,7,4401.76,23.6
74,80,119,8,2670.49,9.8
75,316,28,7,5515.52,59.6
76,336,16,8,815.21,81.7
77,652,39,1,3678.5,29.2
78,458,82,4,2467.91,79.4
79,446,150,6,164.14,98.6
80,131,141,5,7746.41,0.1
81,368,8,2,1958.41,70.2
82,326,112,7,4406.44,66.2
83,193,93,7,6735.71,15.4
84,687,19,3,5222.28,14.4
85,674,35,7,768.84,64.2
86,467,117,7,4124.38,55.2
87,364,2,4,4665.71,84.7
88,514,140,5,4653.18,3.3
89,495,124,6,7697.73,8.0
90,540,21,5,4234.52,61.0
91,646,139,2,6404.98,31.2
92,352,132,1,7257.84,57.4
93,362,10,5,5590.9,59.8
94,578,122,5,4667.31,57.3
95,299,22,1,1101.89,7.7
96,259,71,3,6877.08,1.4
97,179,95,3,6481.94,26.1
98,497,9,3,2808.5,8.4
99,158,106,8,6185.91,23.8
100,653,89,3,529.17,26.4
101,54,122,3,2480.8,74.6
102,546,100,4,3849.26,14.5
103,13,115,5,3117.83,31.6
104,43,91,2,7653.85,43.2
105,280,26,6,2117.22,58.4
106,692,50,4,4207.62,67.8
107,321,18,1,194.5,9.8
108,457,73,6,2089.98,3.4
109,59,32,4,5693.79,12.0
110,134,145,7,6445.28,18.5
111,189,20,5,5146.37,92.3
112,438,19,6,2290.57,6.2
113,62,68,5,1505.64,6.9
114,206,126,7,956.6,54.1
115,629,67,2,915.97,7.3
116,257,128,-8,1275.95,64.0
117,681,85,7,7246.48,57.5
118,503,18,8,4367.02,0.3
119,494,92,2,2734.17,30.3
120,663,88,2,735.61,46.0
121,664,11,4,7743.35,66.1
122,400,92,2,3943.38,88.5
123,195,7,3,5785.94,59.3
124,65,116,5,7735.94,1.6
125,346,55,1,6476.12,66.7
126,695,60,3,7406.04,3.7
127,670,12,1,2017.19,64.9
129,109,57,2,598.57,20.3
130,695,148,7,4412.49,32.2
131,219,86,1,599.45,27.4
132,173,113,6,2024.79,58.2
133,648,5,7,7049.05,8.1
135,130,70,4,4232.39,41.2
136,626,128,1,4935.19,8.8
137,309,143,6,1961.55,11.8
138,98,139,6,4109.57,46.4
139,214,29,5,6393.24,68.5
140,486,12,8,526.82,36.4
141,258,117,6,442.21,74.0
142,181,125,3,4167.74,7.1
143,456,84,6,1917.5,11.0
144,243,97,7,7141.78,7.4
145,56,117,7,1506.68,37.3
146,199,52,6,2753.54,3.2
147,288,120,3,3722.77,17.1
148,303,44,3,4667.16,55.3
149,422,56,8,4773.49,83.7
150,439,112,4,4677.79,89.2
151,153,12,1,416.46,47.1
152,35,123,7,6496.76,69.7
153,508,4,4,5575.96,40.7
154,368,24,5,225.85,66.9
155,471,119,1,6197.5,87.4
156,380,1,8,6897.02,7.1
157,341,70,1,5614.63,61.3
158,213,86,2,5912.51,5.5
