order_id,customer_id,order_date,status,region_code
1,354,2025-05-20 01:08:50,SHIPPED,EAST
2,109,2026-01-11 21:11:15,CANCELLED,NORTH
3,254,2025-12-16 20:26:26,PLACED,EAST
4,429,2025-05-24 13:13:10,SHIPPED,EAST
5,321,2024-09-19 20:50:14,SHIPPED,WEST
6,479,2026-03-03 23:11:12,DELIVERED,WEST
7,,2025-03-14 13:15:04,RETURNED,WEST
8,221,2024-11-18 01:02:29,PLACED,NORTH
9,482,2024-11-17 12:12:45,PLACED,NORTH
10,271,2025-10-15 14:49:01,CANCELLED,EAST
11,,07-02-2025,RETURNED,SOUTH
12,296,14-05-2026,RETURNED,WEST
13,287,2025-10-31 02:44:58,RETURNED,CENTRAL
14,100,2026-03-22 16:18:27,DELIVERED,CENTRAL
15,148,2024-09-28 04:34:18,RETURNED,WEST
16,47,01-11-2025,DELIVERED,WEST
17,153,2024-11-11 12:01:00,RETURNED,SOUTH
18,327,2026-06-30 12:08:26,RETURNED,EAST
19,520,2026-04-03 19:34:29,RETURNED,WEST
20,307,2025-07-25 06:10:12,PLACED,EAST
21,113,2024-12-23 10:24:52,RETURNED,EAST
22,28,2026-05-20 16:47:04,DELIVERED,CENTRAL
23,53,2025-09-08 20:27:53,SHIPPED,CENTRAL
24,390,2026-01-23 16:45:54,SHIPPED,NORTH
25,113,2026-04-01 10:14:44,CANCELLED,EAST
26,423,2025-11-02 10:55:13,CANCELLED,CENTRAL
27,483,2025-05-19 16:59:37,PLACED,SOUTH
28,575,2025-10-07 00:54:52,CANCELLED,CENTRAL
29,178,2026-05-13 16:38:31,RETURNED,EAST
30,271,2025-06-06 19:14:45,SHIPPED,SOUTH
31,306,2025-06-01 08:56:46,DELIVERED,EAST
32,501,2026-01-29 01:26:56,DELIVERED,CENTRAL
33,281,2026-05-25 18:03:57,RETURNED,CENTRAL
34,405,2025-10-07 12:51:16,SHIPPED,EAST
35,,2025-12-24 08:20:30,PLACED,EAST
36,263,2025-02-09 20:23:47,SHIPPED,SOUTH
37,278,2024-12-06 10:18:55,DELIVERED,SOUTH
38,246,2025-05-09 08:02:11,RETURNED,SOUTH
39,54,2025-11-02 11:38:07,DELIVERED,WEST
40,141,03-09-2025,RETURNED,SOUTH
41,488,2026-05-12 05:21:57,SHIPPED,EAST
42,61,2025-12-17 12:31:45,PLACED,CENTRAL
43,39,2024-10-22 21:50:55,SHIPPED,WEST
44,181,2024-10-26 19:20:26,PLACED,WEST
45,191,2024-08-27 08:24:30,DELIVERED,NORTH
46,,2025-10-12 21:20:14,PLACED,EAST
47,557,2025-09-17 19:39:14,SHIPPED,CENTRAL
48,198,2026-06-06 07:25:21,DELIVERED,SOUTH
49,264,2024-10-28 21:22:30,PLACED,EAST
50,582,2026-01-21 17:39:00,SHIPPED,SOUTH
51,416,2025-01-17 03:18:23,RETURNED,EAST
52,98,2024-09-26 11:22:30,SHIPPED,WEST
53,255,26-05-2026,CANCELLED,SOUTH
54,274,2024-10-25 19:39:47,DELIVERED,CENTRAL
55,12,2025-06-20 02:16:20,DELIVERED,SOUTH
56,122,2024-11-14 22:56:24,SHIPPED,WEST
57,319,2026-04-03 19:15:23,DELIVERED,EAST
58,225,2025-04-18 14:20:40,CANCELLED,SOUTH
59,383,2026-01-29 01:06:58,RETURNED,WEST
60,224,2024-10-15 19:51:16,RETURNED,NORTH
61,541,2025-02-01 06:40:04,PLACED,CENTRAL
62,561,2025-10-05 10:05:32,SHIPPED,CENTRAL
63,169,2026-06-11 01:41:46,RETURNED,WEST
64,211,2024-07-26 22:50:06,CANCELLED,NORTH
65,457,2025-03-10 03:35:44,CANCELLED,SOUTH
66,468,2025-12-07 07:51:22,RETURNED,WEST
67,316,2025-06-19 00:43:56,CANCELLED,EAST
68,224,2026-02-13 15:42:12,PLACED,WEST
69,66,2025-02-09 13:41:12,PLACED,NORTH
70,484,07-06-2025,CANCELLED,SOUTH
71,431,2026-06-09 13:42:02,CANCELLED,WEST
72,387,2025-06-20 13:32:34,RETURNED,SOUTH
73,357,2024-12-28 02:54:23,RETURNED,WEST
74,229,2024-07-16 10:42:05,PLACED,EAST
75,558,2025-03-23 19:43:39,CANCELLED,SOUTH
76,355,2025-03-28 02:54:42,SHIPPED,NORTH
77,,2026-02-01 04:36:16,RETURNED,NORTH
78,69,2025-06-14 08:27:24,PLACED,WEST
79,50,2025-11-09 19:22:34,PLACED,WEST
80,553,2026-06-19 02:58:58,PLACED,SOUTH
