product_id,product_name,category,subcategory,cost_price
1,Development We,Electronics,Laptops,3005.87
2,Page Now,Electronics,Mobiles,1255.67
3, No Common,Clothing,Women,1075.43
4,Science Stock,Clothing,Women,780.39
5,Member Citizen,Electronics,Accessories,766.21
6,First Society,Clothing,Kids,594.14
7,  next bill  ,Electronics,Laptops,2964.82
8,Listen Oil,Electronics,Laptops,677.45
9,Sometimes Present,Books,Fiction,2407.42
10,Machine Century,Home,Furniture,1146.67
11,Quality Name,Electronics,Accessories,4821.93
12,Its Mother,Electronics,Cameras,2160.05
13,Political Benefit,Electronics,Cameras,2245.63
14,Continue Thank,Electronics,Accessories,375.13
15,Situation Arrive,Home,Decor,3007.09
16,Third Trouble,Home,Appliances,2179.49
17,Term Evidence,Electronics,Laptops,4446.05
18,Final Color,Books,Academic,2023.71
19,Morning Probably,Electronics,Accessories,3342.28
20,On Explain,Home,Kitchen,2397.63
21,  mr then  ,Electronics,Mobiles,3735.72
22,Face Lawyer,Home,Kitchen,2953.0
23,Create Prove,Home,Furniture,4374.36
24,Best Including,Books,Fiction,3022.03
25,Position Push,Home,Furniture,1103.06
26,Land Game,Books,Non-Fiction,1783.06
27,Option Region,Home,Furniture,2891.8
28,First Example,Books,Fiction,3306.26
29,Enter White,Home,Furniture,3528.36
30,Two Right,Home,Decor,947.96
31, Answer Stay,Clothing,Footwear,3184.2
32,Message Both,Electronics,Mobiles,1114.91
33,Couple If,Books,Comics,1881.76
34,Little Network,Home,Furniture,820.12
35,Dinner Discuss,Electronics,Mobiles,3326.6
36,Author Offer,Books,Comics,1117.07
37,Sell Family,Electronics,Accessories,1452.07
38,SIDE COUPLE   ,Books,Academic,4923.01
39,To Security,Electronics,Mobiles,4729.35
40,Size North,Clothing,Kids,643.92
41,Former Someone,Books,Comics,1932.03
42, Mouth Set,Clothing,Kids,259.4
43,Only Guy,Electronics,Cameras,4317.44
44,Question Part,Books,Comics,2117.59
45,START SOCIETY   ,Electronics,Cameras,900.77
46,  sense common  ,Books,Academic,1254.42
47,Support Lawyer,Books,Fiction,1585.86
48,Present Able,Home,Kitchen,882.26
49,History Marriage,Electronics,Laptops,1779.41
50,FATHER EVER   ,Clothing,Women,1026.5
51,Billion Mind,Clothing,Men,3875.6
52,Discover Religious,Books,Comics,3811.39
53,Well Already,Books,Academic,3154.73
54,FINANCIAL SCENE   ,Clothing,Footwear,3175.36
55,Where Under,Home,Furniture,417.24
56,TIME CHARACTER   ,Books,Comics,4166.9
57,Sound Who,Electronics,Mobiles,2559.99
58,Even Any,Books,Fiction,4058.59
59,Majority Interesting,Clothing,Kids,2531.77
60,BANK WHERE   ,Electronics,Cameras,4912.81
61, System Tonight,Electronics,Laptops,2216.9
62,White How,Books,Non-Fiction,4593.79
63,Television Whom,Books,Comics,3410.54
64,  hit section  ,Electronics,Accessories,2811.92
65,Change Rule,Books,Academic,4265.25
66, Only Child,Clothing,Kids,750.07
67,Themselves Car,Home,Decor,3507.48
68,Management Turn,Books,Non-Fiction,4693.11
69,Beyond Trade,Home,Appliances,1675.96
70,And Drug,Clothing,Men,2145.86
71,Interview Director,Home,Furniture,942.3
72,Population Source,Clothing,Kids,2457.04
73,Support Animal,Clothing,Women,1514.17
74,Nation Simply,Electronics,Mobiles,4388.14
75,Family Drive,Clothing,Footwear,945.19
76,WIFE CLAIM   ,Clothing,Footwear,3398.0
77,Professional End,Clothing,Footwear,3774.34
78,Number Stage,Books,Non-Fiction,1581.87
79,Lead South,Books,Non-Fiction,4738.29
80,Defense Investment,Books,Comics,3901.71
81,Sort Office,Books,Non-Fiction,4016.23
82,EMPLOYEE ARTIST   ,Clothing,Kids,4376.88
83,Move Choose,Electronics,Mobiles,3827.43
84,Picture Whose,Home,Appliances,779.38
85,Campaign Number,Books,Fiction,1149.09
86,Economy Along,Books,Academic,2103.74
87,Often Family,Books,Academic,4972.9
88,  position many  ,Home,Kitchen,4203.92
89,SCIENTIST MEMORY   ,Home,Kitchen,4591.11
90,His Particularly,Books,Non-Fiction,2372.1
91,  state base  ,Electronics,Mobiles,4183.07
92,Rule Event,Books,Fiction,1226.32
93,Particularly Education,Electronics,Mobiles,3212.81
94,CONCERN SIX   ,Books,Fiction,3003.86
95,Technology My,Electronics,Laptops,1491.8
96,Worry Model,Electronics,Accessories,2112.01
97, Nothing Part,Electronics,Accessories,2743.21
98,Or Tax,Electronics,Cameras,265.5
99,Produce Fill,Books,Academic,130.4
100,Sea Picture,Electronics,Accessories,3302.67
101,ISSUE THIRD   ,Electronics,Accessories,2752.77
102,Such Turn,Clothing,Footwear,2418.73
103,HE UNTIL   ,Clothing,Women,233.07
104,Fear Religious,Clothing,Men,4434.66
105,Might Account,Home,Decor,4946.16
106, Heavy Far,Books,Academic,995.96
107,By Soon,Home,Furniture,1693.03
108,Until Draw,Electronics,Accessories,2030.11
109,Where Cell,Books,Comics,974.75
110,Officer Challenge,Books,Academic,2620.42
111, Talk Pass,Electronics,Cameras,4975.74
112,Account Relate,Clothing,Kids,446.34
113,Cold Speak,Home,Decor,3602.43
114,Once Relationship,Clothing,Footwear,259.66
115,Government Mention,Home,Appliances,4901.14
116,Determine Bad,Electronics,Mobiles,2060.74
117, That Behind,Clothing,Men,3406.54
118,  none character  ,Books,Fiction,3903.65
119,Best They,Home,Decor,2857.86
120,Tough Center,Clothing,Footwear,1891.47
121,Unit Rather,Electronics,Laptops,2020.27
122,Perhaps Modern,Home,Kitchen,178.27
123,Kitchen Most,Clothing,Footwear,4572.04
124,Create Probably,Electronics,Accessories,3534.99
125,Film Moment,Clothing,Kids,4993.21
126,  suddenly i  ,Clothing,Men,2287.61
127,Material Information,Books,Fiction,4839.43
128,Toward Design,Home,Decor,2772.49
129,Better Do,Home,Decor,3573.46
130,Peace He,Clothing,Kids,650.74
131,Computer Tv,Clothing,Women,2495.41
132,Soon Their,Home,Decor,4915.91
133,YOUNG PROFESSOR   ,Clothing,Men,4998.0
134,Foreign Writer,Books,Comics,4125.53
135,Computer Method,Electronics,Laptops,3229.58
136,Candidate Listen,Books,Comics,1755.35
137,Happen Tough,Clothing,Women,4558.03
138,Former School,Electronics,Mobiles,1555.42
139,Result Wear,Clothing,Kids,1166.08
140,Crime Congress,Home,Furniture,3193.53
141,Machine Whose,Home,Kitchen,3091.42
142,President Like,Electronics,Laptops,2924.2
143,Grow Your,Clothing,Kids,2839.91
144, Eye Science,Electronics,Mobiles,3866.56
145,Congress Pattern,Home,Kitchen,2112.1
146,Able Make,Electronics,Cameras,2750.61
147,Check Marriage,Home,Appliances,4046.38
148,Low Available,Books,Academic,3458.64
149,Sense Offer,Clothing,Footwear,2348.99
150,Child Here,Home,Kitchen,3605.9
